gyroscope	 104.0Hz
cycle sample index,gyro X,gyro Y,gyro Z
478,0.722,0.256,-48.837
479,1.025,0.373,-85.092
480,0.839,0.862,-179.690
481,3.215,2.283,-296.213
482,6.710,4.404,-384.730
483,7.083,4.940,-375.107
484,3.495,3.052,-268.323
485,2.470,1.724,-134.860
486,1.258,0.489,-41.311
487,0.303,-0.023,-35.160
488,0.163,0.303,-106.271
489,0.583,2.260,-213.731
490,1.561,3.681,-292.904
491,9.087,1.817,-316.228
492,9.320,0.606,-284.074
493,5.010,1.048,-224.239
494,3.262,0.792,-142.596
495,1.701,0.396,-75.865
496,1.817,0.396,-84.649
497,2.493,0.536,-163.706
498,2.773,0.233,-273.589
499,0.769,-0.466,-347.147
500,1.445,0.093,-341.928
501,3.658,1.002,-262.009
502,4.078,0.955,-152.499
503,2.423,0.536,-67.896
504,0.979,0.233,-54.545
505,1.048,0.396,-107.273
506,2.400,0.443,-169.787
507,4.940,0.326,-249.613
508,3.728,0.816,-309.797
509,-1.654,2.493,-317.602
510,1.421,1.794,-280.555
511,0.979,0.792,-187.565
512,-0.023,0.186,-82.948
513,0.256,0.093,-39.960
514,-0.023,0.443,-85.861
515,1.515,2.074,-195.767
516,4.730,4.823,-325.082
517,5.545,6.687,-393.910
518,5.359,5.126,-353.484
519,1.515,1.515,-228.200
520,0.513,0.676,-66.219
521,-1.491,0.979,-19.572
522,1.002,1.095,-63.003
523,2.167,2.237,-138.821
524,4.287,3.262,-233.955
525,8.738,2.796,-313.455
526,9.670,1.864,-339.900
527,4.940,1.701,-295.001
528,2.913,1.398,-187.449
529,3.122,0.979,-90.171
530,1.095,0.419,-55.454
531,3.029,0.676,-82.109
532,4.287,0.280,-183.767
533,3.379,-1.002,-304.624
534,4.730,-2.214,-373.406
535,5.476,-0.885,-356.071
536,4.287,1.445,-237.660
537,-1.095,1.328,-89.192
538,4.613,-1.654,-36.371
539,0.862,-0.583,-77.100
540,-0.047,-0.023,-162.052
541,0.303,0.583,-255.345
542,2.447,0.862,-318.068
543,3.565,1.258,-317.369
544,3.635,1.235,-250.475
545,3.705,0.699,-158.859
546,0.373,-0.256,-103.755
547,-1.095,-0.489,-105.502
548,-0.443,0.489,-161.516
549,3.029,2.214,-249.613
550,4.194,3.635,-312.057
551,5.219,4.753,-310.985
552,3.122,2.027,-257.139
553,2.796,-1.282,-172.653
554,2.540,-0.792,-96.602
555,2.493,-0.140,-68.153
556,0.536,0.955,-106.737
557,-0.280,2.190,-182.276
558,3.798,2.516,-266.529
559,5.569,2.447,-330.487
560,3.099,2.260,-334.681
561,0.652,1.771,-247.236
562,2.050,1.631,-136.002
563,4.753,1.631,-84.113
564,2.889,1.142,-99.048
565,3.565,0.955,-155.318
566,2.400,0.816,-253.481
567,4.893,0.233,-330.907
568,3.285,-0.676,-337.803
569,3.425,2.866,-265.970
570,0.816,2.889,-148.258
571,1.258,0.769,-62.071
572,0.792,0.256,-48.091
573,2.447,0.326,-108.135
574,3.076,1.025,-216.201
575,3.262,1.678,-327.412
576,6.244,1.817,-372.218
577,7.153,1.608,-314.201
578,5.522,0.652,-203.665
579,-0.140,-0.350,-92.408
580,-3.169,-0.816,-62.234
581,0.047,0.256,-99.351
582,1.095,1.701,-184.303
583,5.033,3.751,-289.736
584,5.708,4.101,-354.812
585,2.353,1.957,-320.119
586,5.918,-1.515,-191.759
587,3.215,-0.909,-82.762
588,-0.256,0.210,-39.237
589,-0.629,0.885,-74.234
590,1.701,1.305,-165.943
591,5.289,1.724,-273.845
592,4.590,2.447,-359.263
593,2.726,2.307,-347.147
594,0.489,1.701,-225.218
595,3.681,1.515,-100.446
596,3.355,0.979,-57.947
597,1.701,0.489,-80.688
598,3.029,0.419,-163.962
599,2.214,-0.210,-285.565
600,5.173,-0.140,-371.355
601,4.637,1.025,-359.030
602,1.794,3.192,-224.868
603,0.117,1.515,-80.525
604,0.746,0.070,-21.436
605,0.676,0.233,-52.076
606,2.749,0.583,-142.946
607,3.099,1.351,-264.129
608,3.868,1.841,-361.872
609,6.454,1.864,-371.332
610,6.641,1.375,-284.446
611,3.635,0.396,-154.199
612,-2.703,-0.746,-57.947
613,-0.746,-0.233,-53.800
614,0.396,0.489,-112.889
615,1.538,2.283,-221.560
616,5.289,4.450,-329.509
617,6.081,4.124,-372.544
618,2.563,0.909,-295.887
619,6.105,-1.608,-150.075
620,1.491,-0.396,-50.072
621,-1.654,0.722,-35.439
622,-0.443,1.258,-100.516
623,4.031,1.258,-205.459
624,6.361,1.887,-313.455
625,4.660,2.563,-375.759
626,2.913,2.074,-324.010
627,0.862,1.282,-185.305
628,3.635,1.165,-67.500
629,1.561,0.443,-39.028
630,2.144,0.396,-74.863
631,3.495,0.117,-179.503
632,4.870,-0.955,-316.647
633,4.054,-1.025,-408.006
634,4.637,1.584,-371.076
635,4.008,1.468,-200.357
636,-1.095,0.885,-48.767
637,1.538,-0.466,-8.295
638,-0.326,0.373,-54.196
639,0.443,1.142,-162.844
640,2.330,1.561,-291.693
641,4.171,1.911,-383.471
642,5.778,1.841,-370.377
643,5.639,1.282,-260.797
644,1.794,0.326,-115.918
645,-1.864,-0.443,-35.183
646,0.606,0.140,-45.179
647,0.443,0.792,-128.336
648,1.841,3.052,-260.028
649,5.289,5.312,-369.119
650,5.312,3.845,-385.988
651,3.518,0.396,-267.368
652,5.476,-1.142,-109.417
653,0.699,-0.117,-28.007
654,-1.981,1.002,-41.358
655,0.513,1.468,-125.144
656,5.639,1.538,-242.460
657,6.920,2.190,-352.506
658,5.056,2.726,-392.116
659,2.097,1.841,-312.057
660,0.652,1.025,-163.380
661,3.961,1.025,-50.794
662,1.002,0.233,-33.785
663,1.165,0.210,-87.888
664,4.497,0.233,-208.116
665,4.986,-1.002,-346.075
666,3.775,-0.186,-417.606
667,4.171,2.889,-339.924
668,1.701,1.934,-166.968
669,0.210,0.303,-29.917
670,1.654,-0.466,-6.314
671,-0.373,0.559,-65.333
672,1.584,1.258,-198.889
673,2.936,1.864,-346.168
674,5.243,2.050,-424.969
675,5.942,2.097,-376.481
676,5.569,1.538,-228.037
677,-0.140,0.117,-74.840
678,-0.489,-0.163,-16.310
679,1.282,0.256,-40.705
680,0.210,0.955,-143.644
681,2.447,3.588,-292.252
682,6.827,5.033,-404.814
683,3.588,2.237,-388.528
684,5.732,-0.559,-239.338
685,4.147,-0.699,-88.657
686,-1.421,0.396,-15.821
687,0.023,0.466,-43.291
688,2.074,0.979,-133.276
689,5.033,1.678,-263.873
690,4.683,2.610,-377.250
691,3.588,2.610,-383.891
692,0.583,1.911,-280.555
693,2.796,1.608,-136.142
694,5.010,1.165,-53.474
695,1.375,0.233,-52.984
696,1.212,-0.047,-114.846
697,2.353,-0.326,-240.293
698,4.870,-0.070,-361.057
699,5.429,1.515,-385.359
700,1.911,3.612,-271.096
701,1.445,1.445,-120.811
702,0.862,0.000,-18.197
703,0.979,-0.163,-19.339
704,0.210,0.792,-110.395
705,2.749,1.351,-258.933
706,4.311,1.957,-389.692
707,5.592,2.050,-418.282
708,7.340,2.144,-321.633
709,3.122,0.885,-156.460
710,-1.957,-0.350,-39.494
711,0.769,0.047,-21.949
712,0.699,0.303,-71.298
713,0.769,1.748,-193.157
714,4.427,4.264,-334.285
715,5.732,3.984,-407.424
716,3.868,0.606,-331.932
717,6.035,-0.932,-181.344
718,1.817,-0.210,-59.345
719,-1.282,0.489,-23.510
720,1.188,0.489,-71.741
721,3.006,1.188,-178.338
722,4.777,2.004,-307.211
723,3.705,2.703,-381.444
724,1.748,2.260,-337.920
725,0.303,1.701,-212.519
726,5.429,1.817,-92.571
727,3.169,0.746,-60.207
728,1.142,0.186,-88.936
729,0.676,-0.093,-184.187
730,4.357,0.419,-302.271
731,4.823,0.443,-367.301
732,5.615,2.679,-317.579
733,-0.373,3.215,-185.282
734,1.118,0.746,-66.615
735,1.095,-0.070,-23.440
736,0.932,0.373,-74.560
737,2.586,1.002,-196.978
738,3.006,1.771,-332.398
739,5.266,1.957,-400.807
740,5.708,2.074,-353.228
741,5.988,1.631,-211.774
742,1.002,0.373,-78.661
743,-0.932,-0.280,-28.543
744,1.282,0.186,-56.363
745,-0.047,0.769,-157.625
746,3.122,3.355,-293.207
747,6.757,4.380,-391.859
748,2.470,2.004,-364.738
749,7.200,-1.515,-225.381
750,2.400,-0.559,-92.548
751,-0.699,0.256,-23.719
752,0.117,0.443,-47.509
753,1.538,1.072,-139.031
754,4.916,1.678,-266.995
755,4.613,2.563,-373.988
756,3.845,2.516,-374.012
757,1.072,1.678,-270.047
758,2.074,1.235,-132.181
759,4.590,1.048,-47.322
760,0.676,0.117,-44.456
761,2.843,0.210,-110.978
762,3.169,-0.583,-238.848
763,3.914,-0.746,-369.002
764,4.777,1.398,-400.667
765,2.423,3.448,-280.951
766,1.561,1.165,-115.615
767,1.887,-0.396,-11.277
768,0.280,-0.023,-17.522
769,0.000,0.699,-100.470
770,2.004,1.351,-244.534
771,4.031,1.934,-377.949
772,5.848,2.004,-414.624
773,6.687,1.864,-333.237
774,3.006,0.909,-179.317
775,-1.701,-0.140,-54.639
776,-0.326,-0.093,-20.760
777,1.118,0.536,-60.161
778,1.515,1.817,-170.393
779,3.239,3.868,-308.306
780,5.685,4.380,-401.459
781,2.214,2.400,-354.160
782,6.268,0.047,-203.246
783,3.495,-0.466,-68.688
784,-0.862,0.233,-9.646
785,0.909,0.280,-48.394
786,2.610,1.048,-155.551
787,6.058,1.748,-298.007
788,5.336,2.726,-399.968
789,4.078,2.330,-377.530
790,1.748,1.328,-264.106
791,1.445,0.583,-120.484
792,2.773,0.513,-26.655
793,-0.256,-0.117,-28.170
794,2.004,0.163,-105.456
795,4.870,-0.140,-241.854
796,4.171,-0.443,-383.308
797,4.940,1.981,-414.880
798,2.330,3.169,-282.792
799,3.099,0.466,-108.182
800,0.909,-0.233,-7.433
801,0.140,0.047,-16.799
802,-0.489,0.909,-102.054
803,1.631,1.468,-249.566
804,3.635,2.027,-385.219
805,4.264,2.097,-419.563
806,5.569,2.703,-333.633
807,3.076,2.004,-189.546
808,2.423,1.048,-59.066
809,0.280,0.000,-12.535
810,1.025,0.396,-60.114
811,1.095,1.468,-172.630
812,3.285,3.472,-313.525
813,5.103,3.938,-407.424
814,4.311,1.328,-352.459
815,6.477,-0.326,-211.587
816,1.584,0.163,-78.404
817,0.000,0.047,-12.326
818,0.979,0.233,-47.788
819,3.355,0.862,-160.584
820,4.893,1.887,-303.156
821,5.452,2.516,-387.502
822,3.845,1.794,-369.095
823,0.746,0.629,-276.361
824,0.256,0.163,-139.753
825,1.678,0.326,-33.855
826,-0.326,0.000,-23.323
827,1.957,0.536,-90.124
828,5.196,0.769,-220.674
829,4.380,0.466,-370.470
830,7.316,2.167,-414.880
831,1.491,3.658,-311.637
832,2.330,1.212,-162.587
833,0.256,0.163,-31.735
834,0.373,-0.093,-4.497
835,0.047,0.373,-61.675
836,0.559,1.235,-203.246
837,2.307,1.841,-345.609
838,3.355,2.959,-405.443
839,6.035,4.474,-368.746
840,5.755,3.798,-238.569
841,4.683,2.120,-100.050
842,0.979,0.280,-24.139
843,0.862,0.023,-41.101
844,1.258,0.489,-125.284
845,2.144,1.771,-250.941
846,3.379,3.215,-366.882
847,3.122,1.864,-360.637
848,8.481,-0.419,-263.127
849,3.052,0.373,-151.194
850,1.468,0.186,-62.491
851,2.447,0.070,-34.158
852,2.679,0.350,-89.053
853,3.868,0.885,-206.974
854,3.192,1.095,-333.959
855,-1.817,0.443,-394.469
856,-3.821,1.491,-350.129
857,3.518,2.633,-220.138
858,2.004,1.351,-93.107
859,4.823,1.678,-57.271
860,1.957,0.955,-85.791
861,2.237,1.025,-147.722
862,3.612,1.095,-250.918
863,8.062,1.188,-333.376
864,2.866,2.843,-311.265
865,0.466,2.749,-239.524
866,0.792,1.282,-156.157
867,0.117,0.676,-99.910
868,0.489,0.513,-94.458
869,1.678,0.676,-133.719
870,1.817,1.142,-210.585
871,4.194,2.307,-290.202
872,8.551,3.612,-328.227
873,9.763,3.448,-306.581
874,4.101,1.375,-231.486
875,0.839,0.233,-133.183
876,-0.583,-0.396,-72.137
877,0.489,-0.186,-79.267
878,1.235,0.419,-144.926
879,0.396,1.887,-253.947
880,1.398,2.633,-304.741
881,8.668,0.419,-291.646
882,6.291,0.466,-240.060
883,4.147,0.699,-170.090
884,2.679,0.536,-103.405
885,1.934,0.466,-85.301
886,2.959,0.699,-130.597
887,2.982,0.722,-216.131
888,0.909,0.186,-302.737
889,-2.540,-0.117,-334.704
890,-0.513,1.235,-294.209
891,2.237,1.957,-186.190
892,3.379,1.654,-88.027
893,2.959,1.258,-68.362
894,1.188,0.885,-108.834
895,3.262,1.235,-192.085
896,7.503,1.002,-280.555
897,5.103,1.748,-297.844
898,-0.979,3.332,-268.556
899,1.282,1.724,-212.449
900,0.513,1.095,-154.572
901,0.885,0.559,-105.363
902,0.093,0.350,-89.519
903,0.722,0.816,-137.284
904,3.821,1.981,-227.268
905,8.015,3.402,-312.173
906,10.858,3.798,-343.885
