Packet Number,Data receive interval,Processing data time
212,0.2001361846923828,0.0016150474548339844
213,0.10046672821044922,0.0018322467803955078
214,0.10040140151977539,0.0015599727630615234
215,0.10091137886047363,0.0015301704406738281
216,0.09813523292541504,0.001573801040649414
217,0.21006321907043457,0.015461921691894531
218,0.09997296333312988,0.0015001296997070312
219,0.09000563621520996,0.0014400482177734375
220,0.09987640380859375,0.0021064281463623047
221,0.10004878044128418,0.0017905235290527344
222,0.20003128051757812,0.0014846324920654297
223,0.15014934539794922,0.001768350601196289
224,0.04996371269226074,0.001585245132446289
225,0.09983277320861816,0.008173704147338867
226,0.1401665210723877,0.001575469970703125
227,0.16017770767211914,0.0018398761749267578
228,0.10962915420532227,0.0015583038330078125
229,0.09010171890258789,0.0015978813171386719
230,0.10065674781799316,0.0021054744720458984
231,0.10932207107543945,0.001657247543334961
232,0.1908891201019287,0.02099609375
233,0.17927050590515137,0.0014019012451171875
234,0.020165205001831055,0.0014612674713134766
235,0.09982728958129883,0.001355886459350586
236,0.13015055656433105,0.0015206336975097656
237,0.17994976043701172,0.0017919540405273438
238,0.09004092216491699,0.0014476776123046875
239,0.09997892379760742,0.0014598369598388672
240,0.10054755210876465,0.0014481544494628906
241,0.09946942329406738,0.0014362335205078125
242,0.20132231712341309,0.0041501522064208984
243,0.11945319175720215,0.004117488861083984
244,0.07989382743835449,0.004558563232421875
245,0.09973621368408203,0.0033926963806152344
246,0.10996580123901367,0.01643514633178711
247,0.19018268585205078,0.03290104866027832
248,0.09962844848632812,0.00258636474609375
249,0.10021471977233887,0.003075838088989258
250,0.10137104988098145,0.003778219223022461
251,0.0989222526550293,0.00405120849609375
252,0.20003414154052734,0.004088401794433594
253,0.09998726844787598,0.0033979415893554688
254,0.0998075008392334,0.004197120666503906
255,0.10007929801940918,0.004076719284057617
256,0.09990191459655762,0.0029141902923583984
257,0.20024466514587402,0.003301382064819336
258,0.15963435173034668,0.003981590270996094
259,0.04021286964416504,0.003999233245849609
260,0.10010647773742676,0.003503084182739258
261,0.0997157096862793,0.0037994384765625
262,0.20033526420593262,0.021759986877441406
263,0.09942150115966797,0.01352238655090332
264,0.10121774673461914,0.0033638477325439453
265,0.09876108169555664,0.0030384063720703125
266,0.10070419311523438,0.012205362319946289
267,0.19963574409484863,0.004169940948486328
268,0.140153169631958,0.003835439682006836
269,0.05005669593811035,0.003961801528930664
270,0.10978412628173828,0.0034842491149902344
271,0.14012455940246582,0.003640890121459961
272,0.15996932983398438,0.004044055938720703
273,0.14972376823425293,0.0033075809478759766
274,0.050214290618896484,0.0035011768341064453
275,0.0995478630065918,0.002641439437866211
276,0.15064740180969238,0.004046440124511719
277,0.14974570274353027,0.0168302059173584
278,0.10011529922485352,0.01675128936767578
279,0.10025978088378906,0.0035681724548339844
280,0.08932995796203613,0.0032281875610351562
281,0.13008475303649902,0.0034418106079101562
282,0.18000292778015137,0.003270864486694336
283,0.12043619155883789,0.004022836685180664
284,0.07957577705383301,0.002824544906616211
285,0.10023903846740723,0.0038547515869140625
286,0.1102755069732666,0.004039287567138672
287,0.19044947624206543,0.019366025924682617
288,0.10885500907897949,0.0023636817932128906
289,0.14037132263183594,0.0035173892974853516
290,0.04036116600036621,0.003698587417602539
291,0.1199033260345459,0.003077983856201172
292,0.19034767150878906,0.004152059555053711
293,0.10989212989807129,0.03178000450134277
294,0.1096808910369873,0.0033905506134033203
295,0.07963180541992188,0.0025763511657714844
296,0.12081623077392578,0.003977537155151367
297,0.09928131103515625,0.0029578208923339844
298,0.18091344833374023,0.004553556442260742
299,0.1288306713104248,0.002797842025756836
300,0.06042909622192383,0.003060579299926758
301,0.11008095741271973,0.004102945327758789
302,0.12006902694702148,0.0033130645751953125
303,0.18019771575927734,0.004042863845825195
304,0.11961674690246582,0.004022359848022461
305,0.08036684989929199,0.004130125045776367
306,0.0993034839630127,0.002427816390991211
307,0.10102128982543945,0.0034601688385009766
308,0.1997520923614502,0.04904961585998535
309,0.09998440742492676,0.0020780563354492188
310,0.08968496322631836,0.0039179325103759766
311,0.11036920547485352,0.003582000732421875
312,0.1095423698425293,0.003912925720214844
313,0.1901392936706543,0.004033088684082031
314,0.10991883277893066,0.0033903121948242188
315,0.08989596366882324,0.0031359195709228516
316,0.10957026481628418,0.002781391143798828
317,0.09975528717041016,0.0017724037170410156
318,0.21028470993041992,0.001529693603515625
319,0.08963155746459961,0.001512765884399414
320,0.08041024208068848,0.0014812946319580078
321,0.09962844848632812,0.0015974044799804688
322,0.11055755615234375,0.001468658447265625
323,0.19946575164794922,0.009444952011108398
324,0.10795068740844727,0.00918722152709961
325,0.08211731910705566,0.0014903545379638672
326,0.09977316856384277,0.0014584064483642578
327,0.11018204689025879,0.0014536380767822266
328,0.1899733543395996,0.008874654769897461
329,0.11035966873168945,0.0017321109771728516
330,0.08995652198791504,0.0017516613006591797
331,0.10001564025878906,0.0018429756164550781
332,0.09953737258911133,0.0014882087707519531
333,0.20019793510437012,0.0017859935760498047
334,0.10022234916687012,0.001691579818725586
335,0.1000368595123291,0.0015146732330322266
336,0.10953783988952637,0.0013980865478515625
337,0.08992505073547363,0.0015578269958496094
338,0.11034154891967773,0.0014433860778808594
339,0.19019150733947754,0.017014503479003906
340,0.1095881462097168,0.001375436782836914
341,0.09049248695373535,0.0015146732330322266
342,0.09962153434753418,0.0015251636505126953
343,0.10986518859863281,0.0013594627380371094
344,0.1902463436126709,0.0015370845794677734
345,0.09973526000976562,0.001470327377319336
346,0.11015868186950684,0.0015265941619873047
347,0.09984469413757324,0.0017244815826416016
348,0.09018731117248535,0.001512289047241211
349,0.199951171875,0.009799957275390625
350,0.10030841827392578,0.0017778873443603516
351,0.10003066062927246,0.0016655921936035156
352,0.09966087341308594,0.0015058517456054688
353,0.10047125816345215,0.0014519691467285156
354,0.20986628532409668,0.01753973960876465
355,0.08962082862854004,0.001514434814453125
356,0.10038304328918457,0.0014743804931640625
357,0.10021305084228516,0.0013725757598876953
358,0.09978294372558594,0.0014562606811523438
359,0.20102715492248535,0.004181385040283203
360,0.09962105751037598,0.0034170150756835938
361,0.10999870300292969,0.0040090084075927734
362,0.09013724327087402,0.0040819644927978516
363,0.10964393615722656,0.004105091094970703
364,0.19040989875793457,0.004084110260009766
365,0.09989237785339355,0.003297567367553711
366,0.09994769096374512,0.0031058788299560547
367,0.09988951683044434,0.003212451934814453
368,0.1498117446899414,0.0036191940307617188
369,0.14976072311401367,0.014888525009155273
370,0.1405491828918457,0.030545949935913086
371,0.07988548278808594,0.0034592151641845703
372,0.07978057861328125,0.0029478073120117188
373,0.0996243953704834,0.0030584335327148438
374,0.20082807540893555,0.0040585994720458984
375,0.09939289093017578,0.003000020980834961
376,0.10064101219177246,0.004344463348388672
377,0.09981942176818848,0.003908395767211914
378,0.11985278129577637,0.003560781478881836
379,0.17998623847961426,0.004064798355102539
380,0.1001894474029541,0.0031349658966064453
381,0.11973357200622559,0.004198789596557617
382,0.08014464378356934,0.0037491321563720703
383,0.130598783493042,0.003944873809814453
384,0.1693260669708252,0.003954172134399414
385,0.1297914981842041,0.03012561798095703
386,0.09775018692016602,0.002507925033569336
387,0.07195925712585449,0.0032079219818115234
388,0.10115170478820801,0.0041768550872802734
389,0.1996762752532959,0.004136323928833008
390,0.10046792030334473,0.0035545825958251953
391,0.1091775894165039,0.01555013656616211
392,0.08973288536071777,0.0029206275939941406
