accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
463,-0.012,0.708,1.008
464,0.151,0.668,0.981
465,0.744,0.190,1.007
466,1.535,-0.325,1.042
467,1.097,-1.078,1.037
468,-0.611,-0.755,0.987
469,-0.573,-0.011,1.004
470,0.247,-0.273,1.008
471,0.407,-0.494,1.007
472,0.065,-0.427,1.055
473,-0.740,0.051,0.995
474,-0.931,0.159,0.977
475,-0.711,0.468,0.982
476,-0.065,0.219,1.006
477,0.283,-0.303,1.014
478,0.063,-0.189,1.010
479,0.085,-0.359,1.007
480,0.086,-0.620,0.998
481,-0.118,-0.629,0.984
482,-0.608,-0.273,0.975
483,-1.024,0.118,1.003
484,-0.667,0.253,1.017
485,-0.213,0.972,1.019
486,-0.062,0.583,1.008
487,-0.161,0.376,1.001
488,-0.172,0.640,1.014
489,-0.111,-0.241,1.034
490,0.141,-0.388,1.018
491,0.625,-0.076,1.006
492,0.569,-0.239,0.997
493,0.047,-0.061,1.003
494,-0.562,0.537,0.998
495,-0.265,0.500,1.007
496,0.012,0.413,1.007
497,0.061,0.292,0.999
498,0.206,0.384,0.994
499,0.522,0.045,1.007
500,0.856,-0.201,1.037
501,0.584,-0.387,1.030
502,-0.058,-0.889,1.011
503,-0.583,-0.461,1.001
504,0.004,-0.446,1.011
505,-0.088,-0.321,1.022
506,0.039,-0.344,1.021
507,-0.031,-0.032,1.018
508,-0.459,0.741,0.981
509,-0.976,0.516,0.978
510,-0.728,0.504,0.991
511,0.384,0.176,1.014
512,0.544,-0.186,1.022
513,0.098,-0.299,1.009
514,0.179,-0.573,1.006
515,0.032,-1.293,0.982
516,-0.127,-0.864,0.975
517,-0.725,-0.446,0.998
518,-1.476,0.225,1.008
519,-1.288,1.865,1.025
520,0.334,0.518,0.999
521,0.026,0.137,1.018
522,0.191,0.490,1.023
523,-0.128,0.539,1.020
524,-0.344,0.141,1.018
525,0.090,-0.365,1.004
526,1.013,-0.429,1.005
527,1.258,-0.662,1.017
528,-0.089,-0.326,1.000
529,-1.133,0.089,0.991
530,-0.123,0.162,1.008
531,0.013,0.394,1.011
532,0.016,1.117,0.995
533,-0.120,0.995,0.984
534,0.192,0.810,1.024
535,1.152,0.205,1.072
536,1.133,-1.499,1.029
537,-0.507,-1.087,0.985
538,-0.106,-0.222,1.011
539,-0.060,-0.770,1.012
540,0.003,-0.992,1.018
541,0.291,-0.593,1.026
542,-0.322,0.253,0.998
543,-1.579,0.822,0.967
544,-1.806,0.808,0.969
545,-0.501,1.065,0.995
546,0.737,0.378,1.017
547,0.380,0.070,1.017
548,0.323,-0.344,1.013
549,0.477,-0.350,1.013
550,0.579,-1.090,0.998
